Symbol,Date,Open,High,Low,Close,Adj Close,Volume,SMA50,SMA100,Signal,Entry/Exit,EMA 50 dias,EMA 200 dias,RSI,Variation
NVR,2000-05-11,62.25,62.38,62.0,62.38,62.38,104600,53.567,,0.0,0.0,54.98319562737255,49.413954897747956,81.54251812788402,0.0
NVR,2000-05-12,62.38,62.75,62.25,62.38,62.38,48900,53.9246,,0.0,0.0,55.27326638708343,49.542970271899726,81.06828938471945,0.0
NVR,2000-05-15,62.12,62.38,61.75,61.94,61.94,32200,54.2796,,0.0,0.0,55.5347069209233,49.66632380153257,78.10810810810813,-0.00705354280218029
NVR,2000-05-16,61.5,62.38,61.5,61.75,61.75,30500,54.6222,,0.0,0.0,55.778443904416505,49.786559385596924,77.74041694687291,-0.0030674846625766694
NVR,2000-05-17,62.0,62.0,61.12,61.25,61.25,12900,54.9596,,0.0,0.0,55.99301473169429,49.90062347131238,61.39817629179333,-0.0080971659919028
NVR,2000-05-18,60.75,60.88,60.25,60.25,60.25,37100,55.2822,,0.0,0.0,56.159955330451375,50.0036023422446,55.749770009199636,-0.01632653061224487
NVR,2000-05-19,60.5,60.5,58.75,59.19,59.19,31000,55.571000000000005,,0.0,0.0,56.278780611610145,50.09500928411281,34.26651735722281,-0.017593360995850627
NVR,2000-05-22,59.0,59.19,57.12,57.31,57.31,47300,55.824799999999996,,0.0,0.0,56.31922058762544,50.1668002365097,18.93305439330541,-0.03176212198006412
NVR,2000-05-23,57.56,57.62,56.88,56.88,56.88,18300,56.0748,,0.0,0.0,56.341211937130325,50.23359824410662,20.709382151029715,-0.007503053568312712
NVR,2000-05-24,56.62,56.62,55.5,56.25,56.25,23400,56.308600000000006,50.896300000000004,1.0,1.0,56.33763499841933,50.29346293819511,21.624850657108695,-0.011075949367088667
NVR,2000-05-25,56.25,56.25,55.5,55.5,55.5,21600,56.5274,50.985699999999994,1.0,0.0,56.30478656710878,50.34526927711855,13.999999999999986,-0.013333333333333308
